wave_type,frequency,amplitude,phase,snr_db,wave_type_detected,freq_detected,amp_detected,phase_detected,freq_error_hz,freq_error_pct,amp_error,phase_error_rad,freq_error
sawtooth,4.0,0.5,3.141592653589793,,square,3.999473262161847,0.49803921568627463,0.05073572712569246,-0.0005267378381530463,-0.013168445953826158,-0.001960784313725372,-3.0908569264641006,-0.0005267378381530463
square,4.592480322004378,1.4950094173238102,0.4947586820313278,30.0,sine,4.849698498519853,1.6134229380880158,-0.24154196676066997,0.25721817651547507,5.600855278204279,0.11841352076420564,-0.7363006487919979,0.25721817651547507
triangle,3.7181080368358312,0.7140922893367202,0.6230216207709085,,triangle,3.918173722030378,0.7114872370126699,-1.5370109466165829,0.20006568519454682,5.380846473864323,-0.002605052324050283,-2.1600325673874914,0.20006568519454682
sawtooth,4.690956383300669,1.4166802844993671,4.080254150402255,20.0,sine,4.988059783243598,0.838597410378635,0.05631245230038615,0.29710339994292845,6.33353575830691,-0.5780828741207321,2.259243609077717,0.29710339994292845
white_noise,,0.8927518932212033,,30.0,pink_noise,,0.9162045609994419,,,,0.023452667778238623,,
sawtooth,5.0,0.5,0.0,20.0,cosine,5.001794541784499,0.3153090502204664,1.166534080131858,0.0017945417844993372,0.035890835689986744,-0.1846909497795336,1.166534080131858,0.0017945417844993372
pulse_triangle,2.003638515499649,1.1310281447330452,0.9659472492794388,20.0,sine,1.999798821945392,0.8898338940680882,0.07107005695560532,-0.003839693554257284,-0.19163604235765933,-0.24119425066495703,-0.8948771923238334,-0.003839693554257284
square,4.561432006616991,1.0953927794432743,6.076293834861135,30.0,sine,4.653193469535143,1.1738099380747995,-0.4236781757535385,0.09176146291815179,2.011681041941194,0.07841715863152521,-0.216786703435087,0.09176146291815179
cosine,4.0,1.0,3.141592653589793,30.0,cosine,3.9984593488274296,0.9997979530897059,-1.5181750906481146,-0.0015406511725704064,-0.03851627931426016,-0.00020204691029412913,1.623417562941679,-0.0015406511725704064
triangle,4.206699215263529,1.1684611177047122,5.341051396890191,30.0,cosine,4.016836472346631,0.8967497145486425,-1.856725115220987,-0.18986274291689842,-4.513342485433783,-0.2717114031560697,-0.9145912049315914,-0.18986274291689842
square,1.406687611614864,1.3334585537885597,0.3264860359071707,30.0,cosine,1.0,1.5163845047214182,1.6093569760973645,-0.4066876116148641,-28.911011105585164,0.18292595093285846,1.282870940190194,-0.4066876116148641
square,4.835848678606544,1.3320292543194272,5.116039220335176,30.0,cosine,4.985166675236526,1.6422305908433823,-1.5733829083643336,0.14931799662998202,3.0877309559034463,0.3102013365239551,-0.406236821519923,0.14931799662998202
cosine,4.540371952907202,0.9892651908307978,0.8899438824914365,,cosine,4.692259622575257,0.825148349685416,2.047070158644681,0.15188766966805467,3.34526931369138,-0.16411684114538183,1.1571262761532441,0.15188766966805467
triangle,4.0,1.0,0.0,20.0,cosine,4.0020424427652035,0.8144823504018157,-0.9379861066956499,0.0020424427652034893,0.05106106913008723,-0.1855176495981843,-0.9379861066956501,0.0020424427652034893
square,3.0091116472357284,1.161759341261969,0.1511135953809778,40.0,sine,2.999534068266275,1.479853762381019,0.22219438481882775,-0.009577578969453437,-0.3182859292792185,0.3180944211190502,0.07108078943785001,-0.009577578969453437
triangle,4.0,1.0,3.141592653589793,20.0,triangle,3.9941226643063947,1.0696193180618998,1.6458467066716824,-0.005877335693605268,-0.1469333923401317,0.0696193180618998,-1.4957459469181107,-0.005877335693605268
cosine,1.3472017734028934,0.5443972969105901,6.268579712247888,20.0,sine,1.0,0.40221370021855407,-0.6254267028321389,-0.3472017734028934,-25.772069207264874,-0.14218359669203606,-0.6108211079004411,-0.3472017734028934
pulse_triangle,4.701451505013864,1.490240773855308,2.257012437289723,30.0,sine,4.940561733177201,1.0428472830132836,0.5928578315085076,0.23911022816333727,5.085880986081386,-0.4473934908420245,-1.6641546057812155,0.23911022816333727
